Cannes,default,pagerank
6,https://www.nytimes.com/2019/10/08/us/politics/republicans-trump-syria.html,https://www.nytimes.com/news-event/2020-election
7,https://www.nytimes.com/2019/10/31/us/politics/house-impeachment-partisan-vote.html,https://www.nytimes.com/2017/10/30/us/politics/paul-manafort.html
8,https://www.nytimes.com/2019/11/06/us/trump-senate-republicans-courts.html,https://www.nytimes.com/2018/08/22/us/politics/offense-impeachable-constitution.html
9,https://www.nytimes.com/2019/11/06/us/trump-senate-republicans-courts.html,https://www.nytimes.com/interactive/2019/us/politics/2020-presidential-candidates.html
Senate,default,pagerank
0,https://www.nytimes.com/2019/10/01/us/politics/senate-trump-impeachment.html,https://www.nytimes.com/video/opinion/100000006064751/coal-miner-to-trump-coal-mining-isnt-coming-back.html
1,https://www.nytimes.com/2019/10/24/us/politics/senate-republicans-trump.html,https://www.nytimes.com/section/us
2,https://www.nytimes.com/2019/10/26/us/trump-senate-presidency.html,https://www.nytimes.com/issue/todayspaper/2019/11/10/todays-new-york-times
3,https://www.nytimes.com/2019/08/03/us/politics/senate-votes-mcconnell.html,https://www.nytimes.com/section/climate
4,https://www.nytimes.com/2019/08/22/us/politics/john-hickenlooper-senate-2020.html,https://www.nytimes.com/news-event/2020-election
5,https://www.nytimes.com/2019/08/31/us/politics/senate-race-2020.html,https://www.nytimes.com/times-journeys/tour-type/small-group/
6,https://www.nytimes.com/by/carl-hulse,https://www.nytimes.com/times-journeys/trip-type/politics-and-perspective/
7,https://www.nytimes.com/2019/11/08/us/impeachment-senate-democrats.html,https://www.nytimes.com/2018/08/22/us/politics/offense-impeachable-constitution.html
8,https://www.nytimes.com/2019/10/18/us/politics/mcconnell-impeachment-senate.html,https://timesjourneys.nytimes.com/tour-type/
9,https://www.nytimes.com/2019/11/06/us/trump-senate-republicans-courts.html,https://www.nytimes.com/interactive/2019/us/politics/2020-presidential-candidates.html
Olympics2020,default,pagerank
0,https://www.nytimes.com/2019/10/01/travel/what-you-need-to-know-the-tokyo-2020-olympics.html,https://www.nytimes.com/video
1,https://www.nytimes.com/2018/02/15/learning/should-technology-in-sports-be-limited.html,https://www.nytimes.com
2,https://www.nytimes.com/2018/02/15/learning/should-technology-in-sports-be-limited.html,https://www.nytimes.com/video/world/middleeast/100000001253159/2011-arab-spring.html
3,https://www.nytimes.com/2017/12/05/sports/olympics/ioc-russia-winter-olympics.html,https://www.nytimes.com/video/opinion/100000006033259/between-sound-and-silence.html
4,https://www.nytimes.com/2018/04/23/sports/breakdancing-olympics.html,https://www.nytimes.com/video/opinion/100000005675688/my-dead-dads-porno-tapes.html
5,https://www.nytimes.com/2016/08/02/sports/olympics/rare-show-of-discord-between-ioc-and-world-anti-doping-agency-over-russian-scandal.html,https://www.nytimes.com/video/opinion/100000006048561/calving-season.html
6,https://www.nytimes.com/2016/12/08/sports/great-moments-in-cheerleading-could-the-olympics-be-next.html,https://www.nytimes.com/video/us/politics/100000006067682/president-trump-impeach-questions-answers-michael-cohen.html
7,https://www.nytimes.com/2019/09/23/sports/olympics/russia-doping-wada.html,https://www.nytimes.com/video/us/politics/100000005524412/paul-manafort-fraud-laundering-scandal.html
8,https://www.nytimes.com/2017/12/11/sports/olympics/fastest-color.html,https://www.nytimes.com/video/opinion/100000006055559/sanctuary-city-hotline.html
9,https://www.nytimes.com/2019/11/01/sports/olympics/enriqueta-basilio-71-dies-first-woman-to-light-olympic-flame.html,https://www.nytimes.com/video/opinion/100000006064751/coal-miner-to-trump-coal-mining-isnt-coming-back.html
Stock,default,pagerank
0,https://www.nytimes.com/interactive/2017/10/04/us/bump-stock-las-vegas-gun.html,https://www.nytimes.com/issue/todayspaper/2019/11/10/todays-new-york-times
1,https://www.nytimes.com/2018/12/16/technology/tech-workers-company-stock-shareholder-activism.html,https://www.nytimes.com/section/world
2,https://www.nytimes.com/2019/05/02/business/tesla-stock-fundraising.html,https://www.nytimes.com/section/business
3,https://www.nytimes.com/2019/05/10/technology/uber-stock-price-ipo.html,https://www.nytimes.com/section/automobiles
4,https://www.nytimes.com/2019/11/04/business/under-armour-stock-investigation.html,https://www.nytimes.com/section/upshot
5,https://www.nytimes.com/2019/10/24/style/rebag-clair-handbag-stock-market.html,https://www.nytimes.com/times-journeys/travel/egypt/
6,https://www.nytimes.com/2019/10/28/business/stock-market-record.html,https://www.nytimes.com/section/fashion
7,https://www.nytimes.com/2019/05/30/technology/uber-stock-earnings.html,https://www.nytimes.com/times-journeys/travel-experience/greenwich-village-old-new-and-delicious/
8,https://www.nytimes.com/2018/11/12/obituaries/david-pearson-nascar-dead.html,https://www.nytimes.com/interactive/2019/04/10/t-magazine/terrence-mcnally-interview.html
9,https://www.nytimes.com/2019/09/20/technology/airbnb-employees-ipo-payouts.html,https://www.nytimes.com/section/world/middleeast
Virus,default,pagerank
0,https://www.nytimes.com/2019/11/09/science/seals-distemper.html,https://www.nytimes.com/es/
1,https://www.nytimes.com/2019/10/28/us/politics/kay-hagan-dead.html,https://www.nytimes.com/section/us
2,https://www.nytimes.com/2019/10/25/health/predict-usaid-viruses.html,https://www.nytimes.com/section/science
3,https://www.nytimes.com/2019/02/05/us/politics/trump-hiv-aids-plan.html,https://www.nytimes.com/section/world
4,https://www.nytimes.com/video/opinion/100000006210828/russia-disinformation-fake-news.html,https://www.nytimes.com/section/health
5,https://www.nytimes.com/video/opinion/100000006210828/russia-disinformation-fake-news.html,https://www.nytimes.com/section/climate
6,https://www.nytimes.com/by/donald-g-mcneil-jr,https://www.nytimes.com/2019/08/01/business/vas-narasimhan-novartis-corner-office.html
7,https://www.nytimes.com/2019/09/27/well/live/when-is-the-best-time-to-get-your-flu-shot.html,https://www.nytimes.com/interactive/2016/obituaries/notable-deaths/da-henderson
8,https://www.nytimes.com/2019/01/23/neediest-cases/daughter-cmv.html,https://www.nytimes.com/2018/11/12/opinion/russia-meddling-disinformation-fake-news-elections.html
9,https://www.nytimes.com/2019/02/04/us/politics/trump-hiv-aids-plan.html,https://www.nytimes.com/video/opinion/100000006188105/countering-disinformation-active-measures.html
